2771,17956,1
857,13400,4
1881,18114,2
1523,12098,1
959,16171,2
1451,17464,4
3482,19562,2
2757,21067,2
1145,20703,3
4121,6080,3
3485,7785,2
2668,9373,3
3337,8458,2
4261,10612,4
2933,14293,2
1746,21678,1
4346,17637,4
77,13091,3
32,9137,3
1604,10434,1
181,10602,3
540,10520,2
3270,13104,3
3066,11427,4
4847,20865,3
2470,6887,4
3557,17676,4
78,16693,2
857,21150,4
4730,18169,2
4177,13033,1
1357,12701,1
2044,15033,3
4326,8564,3
862,7423,3
574,10279,4
2582,12213,4
4375,14214,3
4572,20921,4
2967,7026,4
4229,15309,2
1087,21167,4
4957,11214,3
4665,18211,4
1453,11992,1
1271,13435,2
2418,20146,2
2489,7209,3
4374,16740,1
737,14338,1
1604,21413,2
3285,21190,2
710,11402,2
2371,7315,1
1109,21091,3
2584,12503,3
3581,16507,1
1024,11574,4
3551,17884,3
3187,11855,4
3099,9092,3
4136,19251,2
2734,11147,2
1675,19871,1
2117,20411,3
4217,6359,1
4474,6619,1
2565,18292,1
2456,10566,1
4367,8600,1
2139,13468,3
3291,16274,1
2721,6876,3
4262,8401,1
4515,19242,1
589,17837,4
924,10489,3
3141,12074,4
722,18448,1
2081,11490,2
3342,13575,1
1206,19257,3
4859,14885,4
1051,17228,4
453,9386,3
3997,18486,4
1903,17451,3
1567,7091,4
629,14348,3
2189,14012,4
129,8303,4
4806,7640,1
3237,10656,4
4406,11855,3
1835,11420,1
4202,10299,2
2997,12794,1
4528,13489,2
3934,18527,3
1326,18630,2
4338,20636,4
658,13806,1
3674,11058,4
3122,7245,2
2656,18261,3
4067,21063,4
2516,12907,1
2916,15367,2
3406,5710,1
1323,11863,4
1223,7107,2
2021,5811,2
4451,7213,2
3013,20202,4
4917,9676,3
3526,10315,2
4825,20074,1
1440,17829,4
18,5981,3
838,16057,4
2901,15732,4
170,15603,3
2202,8799,1
611,18226,3
4479,20573,4
667,22034,4
1944,9925,2
3090,7792,3
3161,11182,4
380,11193,4
526,16393,1
1650,16152,3
1088,7728,2
2276,7885,2
4965,13214,3
2832,11203,3
1856,15806,2
1109,11672,3
3611,9268,2
4329,18293,3
1746,18007,3
2894,13021,2
3801,14984,4
4148,7963,1
4477,5536,1
2223,20738,2
629,10599,3
923,21636,3
975,11011,4
4730,12137,2
1374,14763,4
955,6210,1
1827,10426,3
260,20719,4
3598,8334,3
2235,11432,2
926,13057,3
3289,6781,1
2508,14634,3
459,8199,2
1505,13462,4
1802,12026,4
4392,6528,4
3670,6312,2
4395,17739,1
1720,16789,2
4472,13283,3
3223,8095,1
1902,13682,3
3265,17365,2
2851,14167,1
2292,6379,1
4885,15329,4
2539,15400,3
1445,19977,1
1179,18437,2
3927,16422,4
4570,6130,3
3183,15444,2
3605,11089,1
3553,20524,2
4851,17255,2
3584,16495,4
4960,7881,4
3839,19073,2
3816,18354,2
2856,16504,4
1532,14995,3
4623,7623,3
1295,6683,3
496,17466,2
2725,19423,3
2605,7617,3
2596,19200,3
4586,12552,4
2685,21953,1
336,13391,3
3995,16393,3
408,9514,1
1675,20733,1
790,16438,3
2113,18124,3
1026,12388,3
1991,12773,2
2421,17637,2
2153,15164,3
23,11217,2
3380,10646,4
3982,13937,1
3394,13053,4
915,15853,3
3210,15210,4
4850,17322,3
374,10853,2
3999,13512,1
2462,20504,1
1283,5681,4
2606,15698,3
1341,15626,1
3587,17535,3
1724,8168,3
2553,5755,4
506,20816,2
1884,7371,2
2337,19212,4
3625,6981,4
3910,19421,1
4080,16729,4
3785,16567,2
377,11336,2
3293,20949,3
4165,21862,2
4930,16149,1
26,18940,2
4215,6088,1
161,8883,2
997,15033,4
2239,7331,1
3572,7407,1
2207,9624,4
1272,13703,1
2599,20018,3
2886,14726,2
1772,18804,4
1901,19777,4
4657,20623,3
4349,20133,3
836,15221,1
1584,5862,2
4729,5851,3
1400,21696,2
4379,7076,2
3023,14571,4
2031,10165,3
2889,18293,1
4159,18712,2
3159,8526,2
626,12738,2
2029,7946,1
904,18843,1
2804,7394,2
2255,5480,2
519,19526,1
894,20731,3
3027,9244,4
1758,11502,4
4368,9245,4
3425,13721,1
2931,14860,1
4922,8512,2
528,11159,2
343,15878,4
1494,17695,4
4743,16999,3
3769,8060,3
548,14176,3
910,20962,4
3449,8482,4
4274,12808,1
4812,13787,1
3032,20953,1
2287,19893,3
2831,19998,4
4376,8782,2
1038,13942,1
4139,9002,3
909,6109,3
1881,15171,1
1197,11164,4
3153,11993,3
2300,12665,2
385,16061,3
3800,6257,1
2017,8439,2
3423,13031,1
1808,20388,2
2490,16965,3
4597,20671,2
3715,9072,3
344,19857,1
4767,15049,4
374,14282,3
2764,13021,2
1652,16957,3
2418,16612,4
1732,6072,3
2916,8648,4
2744,14971,3
4361,15630,1
412,10088,2
416,6620,4
2638,19978,4
302,16494,1
3171,20969,3
308,19573,3
58,9883,2
3708,18065,4
4437,5843,4
3269,10333,3
1445,14265,1
4043,21566,4
2607,7394,2
809,14626,3
1459,8823,3
2968,6877,2
1994,7484,1
4010,6863,1
3645,9700,3
1303,12826,2
1811,17253,4
1360,7620,3
4097,16723,4
3257,17227,2
891,16302,1
2950,12010,2
1708,12173,1
1197,17153,1
3237,7951,4
4761,11120,3
1333,18792,1
1226,14874,4
3577,12017,2
1695,11528,2
2492,10413,3
1882,9499,2
4010,21928,1
3161,9895,2
874,13423,4
3959,9627,3
2432,9375,1
1951,10327,4
4079,11531,4
3681,15501,2
4962,12090,4
3113,11758,2
4910,21586,1
707,20449,4
470,6809,3
3907,17178,2
391,10013,3
1731,22017,4
3437,7349,1
451,10255,3
678,20871,4
4741,13786,2
57,13827,1
20,18175,4
2699,9142,3
2906,12185,3
1363,18599,3
2471,19969,4
3632,21270,1
2694,21785,1
293,9679,2
3106,15834,2
4878,21509,1
2088,13416,3
112,13958,2
3860,15723,1
253,15849,4
4703,16844,1
1875,9608,3
538,11604,4
4032,18692,4
4677,14115,1
3204,14037,3
292,20343,2
3736,17770,2
651,7856,3
1912,8070,3
84,6872,2
2701,9427,4
414,10535,1
564,12230,4
4785,20856,4
4002,6781,4
915,6003,2
1797,16784,4
537,7351,1
2622,21222,1
3774,21313,1
87,20147,1
2111,18348,2
3012,20610,3
3900,6773,1
3315,8026,2
4238,21555,1
4913,13878,4
3650,13165,1
1726,19527,3
1696,20287,4
3696,5488,3
4601,17298,3
3395,21585,4
858,15293,4
1579,18167,3
611,21256,1
1682,6036,4
3959,14863,3
2057,11781,1
1940,15176,2
2527,13376,1
4483,17038,3
2438,21760,3
4268,18882,3
2133,12952,2
2250,17227,4
2624,17700,3
3855,17475,1
